,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Elemental Monument,Elemental Monument,元素方碑,元素方碑,Элементальный монумент,Elemental Monument,
Elemental Sight,Elemental Sight,元素视野,元素視野,Чувство стихий,Elemental Sight,
Elemental sight is kept on even when moving.,Elemental sight is kept on even when moving.,永久启用元素视野。,永久啟用元素視野。,Чувство стихий сохранятеся даже при движении.,Elemental sight akan bertahan walau bergerak.,
ElementalReactionsQueue,Elemental reactions queue,元素反应队列,元素反應隊列,Цепь элементальных реакций,ElementalReactionsQueue,
ElementalSight,ElementalSight,元素视野,元素視野,Чувство стихий,ElementalSight,
Elite,Elite,精英,精英,Элитный,Elite,
Elite enemies.,Elite enemies.,精英级的敌人,精英級的敵人,Притягивать элитных врагов.,Musuh Elite.,
Emerald Finch,Emerald Finch,碧团雀,碧團雀,Изумрудный зяблик,Emerald Finch,
Emerald Orb,Emerald Orb,翡玉法球,翡玉法球,Изумрудный шар,Emerald Orb,
Emotion Changer,Emotion Changer,表情修改器,表情修改器,Замена эмоций,Pengubah Emosi,
Emotions,Emotions,情绪,情緒,Эмоции,Emosi,
Enable,Enable,启动,啟動,Включить,Aktifkan,
"Enable Attack Effects first, then enable, and finally InitObj","Enable Attack Effects first, then enable, and finally InitObj",先启用攻击效果，然后启用此选项，最后初始化,先啟用攻擊效果，然後啟用此選項，最後初始化,"Enable Attack Effects first, then enable, and finally InitObj","Aktifkan Efek Serangan terlebih dahulu, lalu tekan InitObj",
Enable Custom Challenge,Enable Custom Challenge,启用自定义挑战,啟用自訂義挑戰,Включить ручные испытания,Aktifkan Kostumisasi Tantangan,
Enable Elemental Aura,Enable Elemental Aura,启用元素光环,啟用元素光環,Элементальная аура,Aura Elemen,
Enable Fast Exit.,Enable Fast Exit.,启动快速退出,啟用快速退出,Включить быстрый выход. Работает также как и Alt+F4.,Aktifkan Fast Exit.,
Enable Interpolation,Enable Interpolation,使用插值模式,使用插值模式,Включить интерполирование.,Aktifkan Interpolasi,
Enable Kill Aura,Enable Kill Aura,启用杀戮光环,啟用殺戮光環,Включить Kill Aura,Aktifkan Aura Membunuh,
Enable Peeking,Enable Peeking,反虚化,反虛化,Хорни режим,Aktifkan Pengintip,
Enable RSA Patch,Enable RSA Patch,启用RSA补丁,啟用RSA補丁,Включить патч RSA,Aktifkan Patch RSA,
Enable automatic forward teleporation between teleports,Enable automatic forward teleporation between teleports,启用后，自动传送下一个点位。,啟用後，自動傳送下一個點位。,"Автоматически телепортирует игрока. Отметьте нужные вам телепорты галочкой, и нажмите на Select на том телепорте, с которого вы хотите начать телепортироваться.","Aktifkan teleportasi otomatis ",
"Enable blocking and modifying packets by sniffer, can cause network lags.","Enable blocking and modifying packets by sniffer, can cause network lags.",启动 抓包阻塞和修改数据包，可能会导致网络延迟。,啟動 抓包阻塞和修改封包，可能會導致網絡延遲。,"Включить блокировку и изменение пакетов с помощью Sniffer, может привести к задержкам сети.","Aktifkan pemblokiran dan pengubahan packel oleh sniffer, dapat menyebabkan lag jaringan.",
"Enable capturing of packet info and sending to pipe, if it exists.","Enable capturing of packet info and sending to pipe, if it exists.",启用 捕获数据包信息并发送到管道(如果存在),啟用 捕獲封包信息並發送到管道(如果存在),"Включить захват информации о пакете и отправку по pipe, если информация существует.","Aktifkan penangkapan info packet dan mengirimnya ke pipe, jika ada.",
Enable chest detection and filters.,Enable chest detection and filters.,启用 宝箱检测和过滤器,啟用 寶箱檢測和過濾器,Включает обнаружение сундуков и фильтров.,Aktifkan deteksi chest dan filter.,
Enable console for logging information (changes will take effect after relaunch),Enable console for logging information (changes will take effect after relaunch),启用控制台以记录信息(更改将在游戏重新启动后生效),啟用控制台以記錄信息(更改將在遊戲重新啟動後生效),При запуске игры открывается консоль для логгирования информации (изменения будут применены после перезапуска игры),Aktifkan CMD untuk log informasi (diterapkan setelah restart game),
"Enable custom pickup range.
High values are not recommended, as it is easily detected by the server.

If using with auto-pickup/auto-treasure, turn this on LAST.","Enable custom pickup range.
High values are not recommended, as it is easily detected by the server.

If using with auto-pickup/auto-treasure, turn this on LAST.","启动范围拾取，拾取范围的数值不建议过高，因为它很容易被服务器检测到。

如果要与自动拾取/自动宝藏一起使用，请确保最后打开该选项。","啟動範圍拾取，拾取範圍的數值不建議過高，因為它很容易被伺服器檢測到。

如果要與自動拾取/自動寶藏一起使用，請確保最後打開該選項。","Включить настраиваемый диапазон подбора.
Высокие значения не рекомендуются, поскольку это легко обнаруживается сервером.

При использовании с авто-функциями, включите эту функцию В ПОСЛЕДНЮЮ ОЧЕРЕДЬ.","Aktifkan jarak ambil kustom.
Tidak direkomendasikan menggunakan nilai yang tinggi karena dapat terdeteksi server.

Jika ingin digunakan bersama auto ambil/auto harta, aktifkan fitur ini di AKHIR.",
"Enable delay fluctuation.
Simulates human clicking delay as manual clickling never consistent.","Enable delay fluctuation.
Simulates human clicking delay as manual clickling never consistent.","启用随机延迟。
模拟人类点击延迟，因为手动拾取间隔永远不会相同。","啟用隨機延遲。
模擬人類點擊延遲，因為手動拾取間隔永遠不會相同。","Включить варьируемую задержку.
Имитирует человеческую задержку нажатия, поскольку ручное нажатие никогда не бывает последовательным.","Aktifkan fluktuasi delay.
Men-simulasikan perilaku klik manusia, karena delaynya tidak mungkin konsisten.",
"Enable detection of unknown items.
You can see these items below, if they exist.","Enable detection of unknown items.
You can see these items below, if they exist.","启用对未知道具的检测。
你可以在下面看到这些道具(如果存在)。","啟用對未知道具的檢測。
你可以在下面看到這些道具(如果存在)。","Включает обнаружение неизвестных предметов.
Вы можете просмотреть такие предметы ниже, если вы с ними столкнулись.","Aktifkan deteksi item asing.
Kamu dapat melihat item tersebut di bawah ini, jika ada.",
"Enable file logging (changes will take effect after relaunch).
A folder in the app directory will be created for logs.","Enable file logging (changes will take effect after relaunch).
A folder in the app directory will be created for logs.","启用文件记录(更改将在游戏重新启动后生效)，
将在应用程序目录中创建一个用于记录的文件夹。","啟用文件記錄(更改將在遊戲重新啟動後生效)，
將在應用程序目錄中創建一個用於記錄的文件夾。","Включает логгирование в файлов (изменения вступят в силу после перезапуска).
В папке чита будет создана папка для логов.","Aktifkan log file (perubahan diterapkan setelah restart game).
Sebuah folder akan dibuat untuk log dalam folder app.",
Enable hotkeys.,Enable hotkeys.,启用快捷键.,啟用快捷鍵.,Включить горячие клавиши.,Aktifkan hotkey.,
Enable interpolation between teleports when using keybinds.,Enable interpolation between teleports when using keybinds.,当使用按键传送时候，会使用插值模式,當使用按鍵傳送時候，會使用插值模式,Создаёт интерполяцию между телепортами при нажатии горячих клавиш.,Aktifkan interpolasi teleportasi ketika menggunakan hotkey.,
Enable menu unlocker.,Enable menu unlocker.,启用菜单解锁器。,啟用選單解鎖器。,Enable menu unlocker.,Enable menu unlocker.,
"Enable pickup filter.
","Enable pickup filter.
",启用 拾取过滤,啟用 拾取過濾,"Включить фильтр подбора.
",Aktifkan filter ambil.,
"Enable teleport-through-list functionality.
Usage:
1. Put Checkmark to the teleports you want to teleport using hotkey
2. Single click the teleport (with checkmark) to select where you want to start
3. You can now press Next or Previous Hotkey to Teleport through the Checklist
Initially it will teleport the player to the selection made
Note: Double click or click the arrow to open teleport details","Enable teleport-through-list functionality.
Usage:
1. Put Checkmark to the teleports you want to teleport using hotkey
2. Single click the teleport (with checkmark) to select where you want to start
3. You can now press Next or Previous Hotkey to Teleport through the Checklist
Initially it will teleport the player to the selection made
Note: Double click or click the arrow to open teleport details","启用列表传送功能。
用法：
1.勾选你要传送的传送点
2.单击选择以选择你要开始的位置
3.现在可以通过传送下一个/传送上一个进行传送
会先传送到玩家选择的第一个点位。

注意：点击箭头可以打开详细信息。","啟用列表傳送功能。
用法：
1.勾選你要傳送的傳送點
2.單擊選擇以選擇你要開始的位置
3.現在可以通過傳送下一個/傳送上一個進行傳送
會先傳送到玩家選擇的第一個點位。

注意：點擊箭頭可以打開詳細信息。","Включить функцию телепортации по списку.
Использование:
1. Поставьте галочку напротив телепортов, к которым вы хотите телепортироваться с помощью горячей клавиши
2. Один раз кликните на кнопку Select по телепорту, отмеченной галочкой, чтобы выбрать, с какого вы хотите начать
3. Теперь вы можете нажимать горячие клавиши Next (Вперёд) или Previous (Назад), чтобы телепортироваться по списку телепортов

","Aktifkan fitur teleportasi ke list.
Penggunaan:
1. Berikan tanda centang pada teleportasi yang diinginkan untuk teleport menggunakan hotkey
2. Klik satu kali teleportasi (yang dicentang) sebagai permulaan teleport
3. Sekarang kamu dapat menekan tombol Hotkey Selanjutnya atau Sebelumnya untuk teleportasi ke daftar yang sudah dicentang
Sederhananya, fitur ini membuat pemain teleportasi ke seleksi yang dibuat
Catatan: Klik dua kali atau klik panah untuk melihat informasi teleport",
"Enable teleport-to-mark functionality.
Usage: 
	1. Open map.
	2. Hold [Teleport Key] and click with the LMB anywhere in the map.
	Done. You have been teleported to selected location.
Teleport might glitch if teleporting to an extremely high location. 
Adjust Override Height accordingly to help avoid.","Enable teleport-to-mark functionality.
Usage: 
	1. Open map.
	2. Hold [Teleport Key] and click with the LMB anywhere in the map.
	Done. You have been teleported to selected location.
Teleport might glitch if teleporting to an extremely high location. 
Adjust Override Height accordingly to help avoid.","启用 指定地点传送 功能。
用法：
　　1.打开地图
　　2.按住[传送键]然后鼠标左键点击地图任意位置
　　3.你将会被传送到你选择的地方
如果传送到极高的位置，传送可能会出现问题，
应当调整高度避免该情况。","啟用 指定地點傳送 功能。
用法：
　　1.打開地圖
　　2.按住[傳送鍵]然後鼠標左鍵點擊地圖任意位置
　　3.你將會被傳送到你選擇的地方
如果傳送到極高的位置，傳送可能會出現問題，
應當調整高度避免該情況。","Включает функцию телепортации к курсору.
Использование: 
	1. Откройте карту
	2. Удерживайте горячую клавишу телепорта и нажмите левую кнопку мыши на нужном месте на карте, куда нужно телепортироваться.
	Готово. Вы были телепортированы в выбранное место.
Телепортация может неправильно телепортировать вас, если вы телепортируетесь на слишком высокие места. 
Отрегулируйте ""Ручной ввод высоты"" соответствующим образом, чтобы избежать этой проблемы.","Aktifkan fitur teleportasi ke tanda.
Usage: 
	1. Buka map.
	2. Tahan tombol [Teleport] dan klik LMB dimana saja di map itu.
	Selesai. Kamu sudah diteleportasi ke sana.
Teleportasi akan menyebabkan glitch jika lokasinya terlalu jauh atau terlalu tinggi. 
Sesuaikan nilai Ketinggian untuk membantu mengatasi masalah tersebut.",
