,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Geo Hypostasis,Geo Hypostasis,无相之岩,無相之岩,Гео гипостазис,Geo Hypostasis,Nham Nguyên Bản
Geo Puzzle,Geo Puzzle,岩方碑,岩方碑,Геогран,Geo puzzle,Giải đố trụ nham
Geo Sigil,Geo Sigil,岩之印,岩之印,Печать Гео,Geo Sigil,Ấn Nham
Geoculus,Geoculus,岩神瞳,岩神瞳,Геокул,Geoculus,Nham Thần Đồng
Viewpoint,Viewpoint,观景点,觀景點,Точки осмотра,Geografi,Điểm ngắm cảnh
Geogranum,Geogranum,岩种子,岩種子,Геогранум,Geogranum,Hạt Giống Nham
Geography,Geography,地理,地理,География,Geography,Địa lý
Geovishap,Geovishap,岩龙蜥,岩龍蜥,Геовишап,Geovishap,Rồng Đất Nham
Geovishap Hatchling,Geovishap Hatchling,幼岩龙蜥,幼岩龍蜥,Детёныш геовишапа,Geovishap Hatchling,Rồng Đất Nhỏ Nham
Blink Movement,Blink Movement,闪现,閃現,Blink Movement,Gerakan Blink,Phím tắt chớp mắt
FountainRain,FountainRain,喷泉雨,喷泉雨,Сильный дождь,Gerimis,Đài phun mưa
Move FPS Indicator,Move FPS Indicator,移动FPS指示器,移動FPS指示器,Передвижение счётчика FPS,Geser Indikator FPS,Di Chuyển FPS
Move Info Window,Move Info Window,移动信息窗口,移動信息視窗,Передвижение окна 'Info',Geser Jendela Info,Di Chuyển cửa sổ Info
Move Status Window,Move Status Window,移动状态窗口,移動狀態視窗,Передвижение окна 'Status',Geser Jendela Status,Di Chuyển cửa sổ Status
Glaze Lily,Glaze Lily,琉璃百合,琉璃百合,Глазурная лилия,Glaze Lily,Bách Hợp Lưu Ly
Glaze Medaka,Glaze Medaka,琉璃花鳉,琉璃花鱂,Глазурная оризия,Glaze Medaka,Cá Khổng Tước Lưu Ly
Active Glider,Active Glider,生效的风之翼,生效的風之翼,Активный планер,Glider,Active Glider
Glider,Glider,风之翼,風之翼,Планер,Glider,Phong Chi Dực
Global,Global,全局,全局,Общие,Global,Global
GMicon,GMicon,GM 图标,GM 圖標,GMicon,GMicon,GMicon
GodMode,GodMode,无敌模式,無敵模式,Бессмертие,GodMode,God Mode
Golden Crab,Golden Crab,黄金蟹,黃金蟹,Золотистый краб,Golden Crab,Cua Hoàng Kim
Golden Finch,Golden Finch,金团雀,金團雀,Золотой зяблик,Golden Finch,Chim Sẻ Vàng
Golden Koi,Golden Koi,金赤假龙,金赤假龍,Золотой лжедракон,Golden Koi,Cá Rồng Xích Kim
Golden Loach,Golden Loach,金鳅鳅,金鰍鰍,Золотистый аксолотль,Golden Loach,Cá Chạch Kim
Golden Wolflord,Golden Wolflord,黄金王兽,黃金王獸,Золотой волчий вожак,Golden Wolflord,Vua Thú Hoàng Kim
GoldenFlight,GoldenFlight,金琮天行之翼,金琮天行之翼,Крылья золотого полёта,GoldenFlight,Cánh Kim Tông Thiên Hành
Gorou,Gorou,五郎,五郎,Горо,Gorou,Gorou
FPS Graph,FPS Graph,帧率曲线,幀率曲線,График FPS,Grafik FPS,Biểu đồ FPS
Grass,Grass,草,草,Grass,Grass,Cỏ
Gray Snow Cat,Gray Snow Cat,灰雪猫,灰雪貓,Снежная кошка,Gray Snow Cat,Mèo Tuyết Xám
Graywing Pigeon,Graywing Pigeon,灰羽鸽,灰羽鴿,Среброкрылый голубь,Graywing Pigeon,Bồ Câu Xám
Green Horned Lizard,Green Horned Lizard,绿角蜥,綠角蜥,Зелёная рогатая ящерица,Green Horned Lizard,Rồng Đất Lục
Grounded Shroom,Grounded Shroom,陆行水本真蕈,陸行水本真蕈,Земляной моровик,Grounded Shroom,Grounded Shroom
Guide,Guide,指南,指南,Путь,Guide,Hướng dẫn
Use delay time fluctuation,Use delay time fluctuation,使用随机拾取延迟,使用隨機拾取延遲,Использовать диапазон задержки,Gunakan fluktuasi delay waktu,Dùng thời gian delay dao động
Use custom range,Use custom range,使用自定义范围,使用自定義範圍,Использовать кастомный радиус,Gunakan jarak kustom,Dùng Custom range
Uses comma separation and removes xyz from pos on copy.,Uses comma separation and removes xyz from pos on copy.,使用逗号分隔，并在复制时从pos中删除xyz,使用逗號分隔，並在複製時從pos中删除xyz,"Использует разделения запятыми и убирает X, Y и Z позиций при копировании.",Gunakan koma sebagai pemisah dan hapus xyz dari pos saat disalin.,Dùng dấu phẩy để chia và xoá xyz từ toạ đồ đã copy.
"Fast Cooking if the recipe has fast cooking open. 
If fast cooking is closed, you in addition need to turn on Fast Proficiency.","Fast Cooking if the recipe has fast cooking open. 
If fast cooking is closed, you in addition need to turn on Fast Proficiency.","自动烹饪，如果食谱已经解锁自动烹饪。
如果未解锁自动烹饪，你需要打开 快速熟练。","自動烹飪，如果食譜已經解鎖自動烹飪。
如果未解鎖自動烹飪，你需要打開 快速熟練。","Быстро готовит еду, если у еды уже есть функция ""Быстрая готовка"". 
Если функция ""Быстрая готовка"" у еды не доступна, вам необходимо также включить функцию ""Быстрое мастерство"".","Gunakan Memasak Cepat jika sudah terbuka. 
Jika memasak cepat tertutup, kamu perlu mengaktifkan Kemahiran Cepat.","Nấu ăn nhanh nếu mở đã công thức nấu ăn nhanh.
Nếu nấu nhanh bị đóng, ngoài ra, bạn cần bật Thông thạo nhanh."
Use velocity instead of position to move.,Use velocity instead of position to move.,使用速度而不是位置来移动,使用速度而不是位置來移動,Использовать скорость вместо позиции для передвижения.,Gunakan percepatan daripada posisi untuk bergerak,Dùng vận tốc thay vì vị trí để di chuyển.
Use transport position,Use transport position,使用原坐标,使用原坐標,Использовать координат телепортов/башней архонтов,Gunakan posisi transpor (waypoint),Sử dụng vị trí của điểm dịch chuyển
Use system default transport position instead of mark absolute position when teleport to building and transport mark.,Use system default transport position instead of mark absolute position when teleport to building and transport mark.,传送到建筑物和锚点时使用系统默认传送位置而不是指定的绝对位置,傳送到建築物和錨點時使用系統默認傳送位置而不是指定的絕對位置,"Использовать позицию ближайших телепортов по умолчанию, вместо отметки абсолютной позиции при телепортации к зданию и транспортной метке.",Gunakan posisi transpor bawaan sistem saat teleportasi ke bangunan atau tanda.,Dùng hệ thống dịch chuyển vị trí mặc định thay vì điểm đánh dấu khi dịch chuyển đến trúng toà nhà hay điểm đánh dấu dịch chuyển.
Use Auto Attack,Use Auto Attack,使用自动攻击,使用自動攻擊,Использовать авто-атаку,Gunakan Serang Otomatis,Sử dụng tự động đánh
Use AFK Attack,Use AFK Attack,使用AFK攻击,使用AFK攻擊,Use AFK Attack,Gunakan Serangan AFK,Dùng AFK Attack.
Use Custom Directional Keys,Use Custom Directional Keys,使用自定义方向键,使用自定義方向鍵,Use Custom Directional Keys,Gunakan Tombol Arah Kustom,Dùng phím hướng
Use Custom Keys,Use Custom Keys,使用自定义按键,使用自定義按鍵,Использовать кастомные горячие клавиши,Gunakan Tombol Kustom,Dùng phím custom
Hakushin Ring,Hakushin Ring,白辰之环,白辰之環,Кольцо Хакусин,Hakushin Ring,Vòng Bạch Thần
Book Page,Book Page,书页,書頁,Страница,Halaman Buku,Trang sách
Book pages,Book pages,书页,書頁,Страницы книг,Halaman buku,Nhiều trang sách
"Book Pages, Spincrystals, etc.","Book Pages, Spincrystals, etc.",书页、唱片等。,書頁、唱片等。,"Страницы книг, Лучевые кристаллы, и т.д.","Halaman Buku, Spincrystal, dll.","Book Pages, Spincrystals, etc."
"This page following with filters for items.
Items what was activated will be appear on mini/global map. (Obviously)
Each filter have options, you can access to it by clicking RMB on filter.
Filters can be marked with colored lines,
	they indicate that filter support some features. (Hover it)
Thats all for now. Happy using ^)","This page following with filters for items.
Items what was activated will be appear on mini/global map. (Obviously)
Each filter have options, you can access to it by clicking RMB on filter.
Filters can be marked with colored lines,
	they indicate that filter support some features. (Hover it)
Thats all for now. Happy using ^)","此页面后跟项目过滤器，
被激活的物品将出现在迷你/大地图上(很显然)。
每个过滤器都有选项，您可以通过右键单击过滤器上来访问它。
某些过滤器右边有彩色线条标记，
	它们意味着这些过滤器支持某些特殊功能(悬停显示)
就这些了。Happy using :)","此頁面後跟項目過濾器，
被激活的物品將出現在迷你/大地圖上(很顯然)。
每個過濾器都有選項，您可以通過右鍵單擊過濾器上來訪問它。
某些過濾器右邊有彩色線條標記，
	它們意味著這些過濾器支援某些特殊功能(懸停顯示)
就這些了。Happy using :)","Эта страница содержит в себе фильтры для предметов.
Те предметы, которые были отмечены, будут отображаться на картах. (Логично?)
Каждый фильтр имеет свои настройки, вы можете их открыть по нажатию правой кнопкой мыши по фильтру.
Фильтры могут быть отмечены разноцветными полосками,
они значат, что они поддерживают какие-то особые функции. Это можно просмотреть, наведя курсор на них.
Приятного использования :)","Halaman ini berisi filter item.
Item yang diaktifkan akan muncul di mini/global map. (Tentu saja)
Setiap filter memiliki opsi, kamu dapat mengakses hal tersebut dengan klik RMB pada filter.
Filter memiliki tanda warna yang berbeda,
	itu menandakan filter tersebut mendukung beberapa fitur. (Geser ke situ)
Itu saja untuk saat ini. Selamat bersenang-senang ^)","Trang này đi kèm với filters cho vật phẩm.
Vật phẩm được bật sẽ xuất hiện trên mini map và map to. (Rõ Ràng)
Mỗi filter có những lựa chọn, bạn có thể truy cập bằng cách nhấn CHUỘT PHẢI lên filter.
Filters có thể được đánh dấu với các đường màu sắc,
	Chúng cho thấy rằng filter hỗ trợ một số chức năng. (Giữ nó)
Đó là tất cả. Happy Using :)"
Halberd,Halberd,钺矛,鉞矛,Алебарда Миллелита,Halberd,Thuẫn Kích
Halcyon Jade Axe Marlin,Halcyon Jade Axe Marlin,翡玉斧枪鱼,翡玉斧槍魚,Нефритовая рыба-алебарда,Halcyon Jade Axe Marlin,Cá Rìu Bích Ngọc
Hamayumi,Hamayumi,破魔之弓,破魔之弓,Хамаюми,Hamayumi,Cung Trừ Ma
Most gadgets can't be interacted and monsters can't be damaged/deal damage.,Most gadgets can't be interacted and monsters can't be damaged/deal damage.,大多数小工具无法交互，怪物无法受到伤害/造成伤害,大多數小工具無法互動，怪物無法受到傷害/造成傷害,"Большинство взаимодействий будут недоступны и монстры не смогут нанести вам урон, как и вы им.",Hampir semua gadget tidak bisa diinteraksi dan monster tidak bisa diserang/menyerang.,Đa số các tiện ích không thể tương tác được và các quái vật không thể gây ra DMG.
Destroy Specs,Destroy Specs,摧毁特殊宝箱,摧毀特殊寶箱,Разрушать специальные объекты,Hancukan Spec,Phá huỷ Spec
Destroy,Destroy,摧毁,摧毀,Разрушать,Hancurkan,Phá huỷ
"Destroy Ancient Rime, Large and Small Rock Piles","Destroy Ancient Rime, Large and Small Rock Piles",摧毁 雪山大冰块、大小石堆。,摧毀 雪山大冰塊、大小石堆。,Разрушать Доисторический лёд и кучи камней,"Hancurkan Ancient Rime, Large dan Small Rock Pile",Phá hủy khối băng viễn cổ đống đá lớn và nhỏ
Destroy Bomb,Destroy Bomb,引爆炸药桶,摧毀炸藥桶,Разрушать взрывные бочки,Hancurkan Bom,Phá huỷ bom
"Destroy Chests with Brambles, Frozen, or In Rocks","Destroy Chests with Brambles, Frozen, or In Rocks",摧毁 宝箱上的荆棘、冰块、石头。,摧毀 寶箱上的荊棘、冰塊、石頭。,"Убирать лёд, корни и камни с сундуков","Hancurkan Chest berakar, Beku, atau dalam Batu","Phá hủy Rương bị trói buộc, đóng băng, rương đá"
Destroy doodads,Destroy doodads,摧毁杂物,摧毀雜物,Разрушать опциональные объекты,Hancurkan doodad,Phá hủy các cuộc thảo luận
Auto destroy bombbarrel,Auto destroy bombbarrel,自动摧毁炸药桶,自動摧毀炸藥桶,Автоматическое разрушение взрывных бочек,Hancurkan gentong bom Otomatis,Tự động phá hủy thùng bom
Auto Destroy Objects,Auto Destroy Objects,自动摧毁物体,自動摧毀物體,Автоматическое разрушение объектов,Hancurkan Objek Otomatis,Tự động phá huỷ đối tượng
Destroy ores,Destroy ores,摧毁矿石,摧毀礦石,Разрушать руду,Hancurkan ore,Phá hủy quặng
Auto destroy,Auto destroy,自动摧毁,自動摧毀,Автоматическое разрушение,Hancurkan Otomatis,Tự động phá huỷ
Destroy shields,Destroy shields,摧毁护盾,摧毀護盾,Разрушать щиты,Hancurkan perisai,Phá khiên
Destroy Spec Chests,Destroy Spec Chests,摧毁特殊宝箱,摧毀特殊寶箱,Разрушать специальные сундуки,Hancurkan Spec Chest,Phá huỷ rương Spec
Destroy plants,Destroy plants,摧毁植物,摧毀植物,Разрушать растения,Hancurkan tumbuhan,Phá hủy thực vật
Only Hostile/Aggro,Only Hostile/Aggro,只作用于仇恨在你身上的对象,只作用於仇恨在你身上的對象,Только агрессивные мобы,Hanya Agresif,Chỉ các Kẻ địch/Hung dữ
